Rank,Restaurant,Content,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
1,McDonald's,,40412,4.9%,13846,-0.5%,,Quick Service & Burger
2,Starbucks,,21380,8.6%,15049,3.0%,,Quick Service & Coffee Cafe
3,Chick-fil-A,"While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.",11320,13.0%,2470,5.0%,,Quick Service & Chicken
4,Taco Bell,,11293,9.0%,6766,2.7%,,Quick Service & Mexican
5,Burger King,,10204,2.7%,7346,0.2%,,Quick Service & Burger
6,Subway,,10200,-2.0%,23801,-4.0%,,Quick Service & Sandwich
7,Wendy's,,9762,4.2%,5852,0.7%,,Quick Service & Burger
8,Dunkin',"Dunkin' dropped ""Donuts"" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. ""To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin',"" he said.",9228,5.0%,9630,2.2%,,Quick Service & Coffee Cafe
9,Domino's,,7044,6.9%,6126,4.3%,,Quick Service & Pizza
10,Panera Bread,,5890,4.0%,2160,3.2%,,Fast Casual & Bakery Cafe
11,Pizza Hut,"The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.",5558,0.6%,7306,-2.4%,,Quick Service & Pizza
12,Chipotle Mexican Grill,,5509,14.8%,2584,5.3%,,Fast Casual & Mexican
13,Sonic Drive-In,"The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: ""This is how we Sonic.""",4687,4.6%,3526,-2.1%,,Quick Service & Burger
14,KFC,,4546,2.5%,4065,-0.2%,,Quick Service & Chicken
15,Olive Garden,"Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.",4287,5.0%,866,1.3%,,Casual Dining & Italian/Pizza
